VHF.Lib.B,VHF.Lib.A,UHF.Lib.B,UHF.Lib.A,SHF.Lib.B,SHF.Lib.A,VHF.Pro,VHF.SMM.B,VHF.SMM.A,VHF.Fron,UHF.Fron,HF.Cnaf.B,HF.Cnaf.A,HF.Cnaf.Ser,HF.Cnaf.Note,VHF.Cnaf.B,VHF.Cnaf.A,VHF.Cnaf.Ser,VHF.Cnaf.Note,UHF.Cnaf.B,UHF.Cnaf.A,UHF.Cnaf.Ser,UHF.Cnaf.Note
,,,,,,,,,168.575,,8.965,9.04,,,161.7875,161.9375,Fijo | Móvil | Móvil por satélite,,1610,1610.6,Móvil por satélite (Tierra-Espacio) | Radiodeterminación por satélite (Tierra-Espacio) | Radionavegación aeronáutica,
,,,,,,,,,169.425,,9.04,9.4,,,161.9375,161.9625,Fijo | Móvil | Móvil por satélite (Tierra-Espacio),,1610.6,1613.8,Móvil por satélite (Tierra-Espacio) | Radioatronomía | Radiodeterminación por satélite (Tierra-Espacio) | Radionavegación aeronáutica,
,,,,,,,,,169.525,,9.4,9.9,,,161.9625,161.9875,Móvil Aeronáutico ® | Móvil marítimo,,1613.8,1621.35,Móvil por satélite (Tierra-Espacio) | Radiodeterminación por satélite (Tierra-Espacio) | Radionavegación aeronáutica | Móvil por satélite (Espacio-Tierra),
,,,,,,,,,171.825,,9.9,9.995,,,161.9875,162.0125,Fijo | Móvil | Móvil por satélite (Tierra-Espacio),,1621.35,1626.5,,
,,,,,,,,,171.85,,9.995,10.003,,,162.0125,162.0375,Móvil Aeronáutico ® | Móvil marítimo,,1626.5,1660,,
,,,,,,,,,171.925,,10.003,10.005,,,162.0375,174,Fijo | Móvil,,1660,1660.5,,
,,,,,,,,,172.4,,10.005,10.1,,,174,216,Fijo | Móvil | Radiodifusión,,1660.5,1668,,
,,,,,,,,,172.4025,,10.1,10.15,,,216,220,Fijo | Móvil marítimo | Móvil terrestre | Radiolocalización,,1668,1668.4,,
,,,,,,,,,172.405,,10.15,11.175,,,220,225,Fijo | Móvil | Aficionados  | Radiolocalización,,1668.4,1670,,
,,,,,,,,,172.4075,,11.175,11.275,,,225,312,Fijo | Móvil,,1670,1675,,
,,,,,,,,,172.41,,11.275,11.4,,,,,,,1675,1700,,
,,,,,,,,,172.4125,,11.4,11.6,,,,,,,1700,1710,,
,,,,,,,,,172.415,,11.6,12.1,,,,,,,1710,1780,,
,,,,,,,,,172.4175,,12.1,12.23,,,,,,,1780,1850,,
,,,,,,,,,172.42,,12.23,13.2,,,,,,,1850,1920,,
,,,,,,,,,172.4225,,13.2,13.26,,,,,,,1920,1930,,
,,,,,,,,,172.425,,13.26,13.36,,,,,,,1930,2000,,
,,,,,,,,,172.4275,,13.36,13.41,,,,,,,2000,2025,,
,,,,,,,,,172.43,,13.41,13.45,,,,,,,2025,2110,,
,,,,,,,,,172.4325,,13.45,13.55,,,,,,,2110,2180,,
,,,,,,,,,172.435,,13.55,13.57,,,,,,,2180,2200,,
,,,,,,,,,172.4375,,13.57,13.87,,,,,,,2200,2290,,
,,,,,,,,,172.44,,13.87,14,,,,,,,2290,2300,,
,,,,,,,,,172.4425,,14,14.25,,,,,,,2300,2400,,
,,,,,,,,,172.445,,14.25,14.35,,,,,,,2400,2450,,
,,,,,,,,,172.4475,,14.35,14.99,,,,,,,2450,2483.5,,
,,,,,,,,,172.45,,14.99,15.005,,,,,,,2483.5,2500,,
,,,,,,,,,172.4525,,15.005,15.01,,,,,,,2500,2690,,
,,,,,,,,,172.455,,15.01,15.1,,,,,,,2690,2700,,
,,,,,,,,,172.4575,,15.1,15.8,,,,,,,2700,2900,,
,,,,,,,,,172.46,,15.8,16.1,,,,,,,2900,3100,,
,,,,,,,,,172.4625,,16.1,16.2,,,,,,,,,,
,,,,,,,,,172.465,,16.2,16.36,,,,,,,,,,
,,,,,,,,,172.4675,,16.36,17.41,,,,,,,,,,
,,,,,,,,,172.47,,17.41,17.48,,,,,,,,,,
,,,,,,,,,172.4725,,17.48,17.9,,,,,,,,,,
,,,,,,,,,172.475,,17.9,17.97,,,,,,,,,,
,,,,,,,,,172.4775,,17.97,18.03,,,,,,,,,,
,,,,,,,,,172.48,,18.03,18.052,,,,,,,,,,
,,,,,,,,,172.4825,,18.052,18.068,,,,,,,,,,
,,,,,,,,,172.485,,18.068,18.168,,,,,,,,,,
,,,,,,,,,172.4875,,18.168,18.78,,,,,,,,,,
,,,,,,,,,172.49,,18.78,18.9,,,,,,,,,,
,,,,,,,,,172.4925,,18.9,19.02,,,,,,,,,,
,,,,,,,,,172.495,,19.02,19.68,,,,,,,,,,
,,,,,,,,,172.4975,,19.68,19.8,,,,,,,,,,
,,,,,,,,,172.5,,19.8,19.99,,,,,,,,,,
,,,,,,,,,172.5025,,19.99,19.995,,,,,,,,,,
,,,,,,,,,172.505,,19.995,20.01,,,,,,,,,,
,,,,,,,,,172.5075,,20.01,21,,,,,,,,,,
,,,,,,,,,172.51,,21,21.45,,,,,,,,,,
,,,,,,,,,172.5125,,21.45,21.85,,,,,,,,,,
,,,,,,,,,172.515,,21.85,21.87,,,,,,,,,,
,,,,,,,,,172.5175,,21.87,21.924,,,,,,,,,,
,,,,,,,,,172.52,,21.924,22,,,,,,,,,,
,,,,,,,,,172.5225,,22,22.855,,,,,,,,,,
,,,,,,,,,172.525,,22.855,23,,,,,,,,,,
,,,,,,,,,172.5275,,23,23.2,,,,,,,,,,
,,,,,,,,,172.53,,23.2,23.35,,,,,,,,,,
,,,,,,,,,172.5325,,23.35,24,,,,,,,,,,
,,,,,,,,,172.535,,24,24.45,,,,,,,,,,
,,,,,,,,,172.5375,,24.45,24.65,,,,,,,,,,
,,,,,,,,,172.54,,24.65,24.89,,,,,,,,,,
,,,,,,,,,172.5425,,24.89,24.99,,,,,,,,,,
,,,,,,,,,172.545,,24.99,25.005,,,,,,,,,,
,,,,,,,,,172.5475,,25.005,25.01,,,,,,,,,,
,,,,,,,,,172.55,,25.01,25.07,,,,,,,,,,
,,,,,,,,,172.5525,,25.07,25.21,,,,,,,,,,
,,,,,,,,,172.555,,25.21,25.55,,,,,,,,,,
,,,,,,,,,172.5575,,25.55,25.67,,,,,,,,,,
,,,,,,,,,172.56,,25.67,26.1,,,,,,,,,,
,,,,,,,,,172.5625,,26.1,26.175,,,,,,,,,,
,,,,,,,,,172.565,,26.175,26.2,,,,,,,,,,
,,,,,,,,,172.5675,,26.2,26.42,,,,,,,,,,
,,,,,,,,,172.57,,26.42,27.5,,,,,,,,,,
,,,,,,,,,172.5725,,27.5,28,,,,,,,,,,
,,,,,,,,,172.575,,28,29.7,,,,,,,,,,
,,,,,,,,,172.5775,,29.7,30.005,,,,,,,,,,
,,,,,,,,,172.58,,,,,,,,,,,,,
,,,,,,,,,172.5825,,,,,,,,,,,,,
,,,,,,,,,172.585,,,,,,,,,,,,,
,,,,,,,,,172.5875,,,,,,,,,,,,,
,,,,,,,,,172.59,,,,,,,,,,,,,
,,,,,,,,,172.5925,,,,,,,,,,,,,
,,,,,,,,,172.595,,,,,,,,,,,,,
,,,,,,,,,172.5975,,,,,,,,,,,,,
,,,,,,,,,172.6,,,,,,,,,,,,,
,,,,,,,,,172.6025,,,,,,,,,,,,,
,,,,,,,,,172.605,,,,,,,,,,,,,
,,,,,,,,,172.6075,,,,,,,,,,,,,
,,,,,,,,,172.61,,,,,,,,,,,,,
,,,,,,,,,172.6125,,,,,,,,,,,,,
,,,,,,,,,172.615,,,,,,,,,,,,,
,,,,,,,,,172.6175,,,,,,,,,,,,,
,,,,,,,,,172.62,,,,,,,,,,,,,
,,,,,,,,,172.6225,,,,,,,,,,,,,
,,,,,,,,,172.625,,,,,,,,,,,,,
,,,,,,,,,172.6275,,,,,,,,,,,,,
,,,,,,,,,172.63,,,,,,,,,,,,,
,,,,,,,,,172.6325,,,,,,,,,,,,,
,,,,,,,,,172.635,,,,,,,,,,,,,
,,,,,,,,,172.6375,,,,,,,,,,,,,
,,,,,,,,,172.64,,,,,,,,,,,,,
,,,,,,,,,172.6425,,,,,,,,,,,,,
,,,,,,,,,172.645,,,,,,,,,,,,,
,,,,,,,,,172.6475,,,,,,,,,,,,,
